L_min,L_max,error,sqr_error,n_successes
14,28,0,0,20
15,28,3,5,18
16,28,3,5,18
17,28,3,5,18
18,28,2,2,18
5,29,1,1,19
6,29,2,2,18
7,29,2,2,18
8,29,1,1,19
9,29,1,1,19
10,29,2,2,18
11,29,2,2,18
12,29,1,1,19
13,29,1,1,19
14,29,0,0,20
15,29,3,5,18
16,29,3,5,18
17,29,4,8,18
18,29,1,1,19
19,29,2,4,19
5,30,1,1,19
6,30,2,2,18
7,30,2,2,18
8,30,1,1,19
9,30,1,1,19
10,30,2,2,18
11,30,2,2,18
12,30,1,1,19
13,30,1,1,19
14,30,1,1,19
15,30,3,5,18
16,30,3,5,18
17,30,5,9,17
18,30,1,1,19
19,30,2,4,19
20,30,2,4,19
5,31,2,2,18
6,31,2,2,18
7,31,2,2,18
8,31,2,2,18
9,31,1,1,19
10,31,2,2,18
11,31,5,9,17
12,31,1,1,19
13,31,1,1,19
14,31,3,5,18
15,31,3,5,18
16,31,3,5,18
17,31,4,6,17
18,31,2,2,18
19,31,3,5,18
20,31,3,5,18
21,31,3,5,18
5,32,2,2,18
6,32,2,2,18
7,32,1,1,19
8,32,2,2,18
9,32,1,1,19
10,32,2,2,18
11,32,5,9,17
12,32,1,1,19
13,32,1,1,19
14,32,3,5,18
15,32,3,5,18
16,32,3,5,18
17,32,4,6,17
18,32,2,2,18
19,32,3,5,18
20,32,3,5,18
21,32,3,5,18
22,32,5,9,17
5,33,2,2,18
6,33,3,3,17
7,33,2,2,18
8,33,2,2,18
9,33,1,1,19
10,33,2,2,18
11,33,4,6,17
12,33,1,1,19
13,33,2,2,18
14,33,3,5,18
15,33,4,6,17
16,33,3,5,18
17,33,5,9,17
18,33,3,5,18
19,33,3,5,18
20,33,3,5,18
21,33,3,5,18
22,33,6,10,16
23,33,12,28,14
5,34,1,1,19
6,34,3,3,17
7,34,2,2,18
8,34,2,2,18
9,34,1,1,19
10,34,2,2,18
11,34,4,6,17
12,34,1,1,19
13,34,2,2,18
14,34,3,5,18
15,34,3,5,18
16,34,3,5,18
17,34,5,9,17
18,34,3,5,18
19,34,3,5,18
20,34,3,5,18
21,34,3,5,18
22,34,5,7,16
23,34,13,29,13
24,34,13,27,12
5,35,1,1,19
6,35,2,2,18
7,35,1,1,19
8,35,2,2,18
9,35,1,1,19
10,35,2,2,18
11,35,4,6,17
12,35,1,1,19
13,35,2,2,18
14,35,3,5,18
15,35,3,5,18
16,35,3,5,18
17,35,5,9,17
18,35,3,5,18
19,35,3,5,18
20,35,3,5,18
21,35,3,5,18
22,35,7,11,15
23,35,14,32,13
24,35,13,27,12
25,35,27,67,8
5,36,2,2,18
6,36,2,2,18
7,36,1,1,19
8,36,2,2,18
9,36,1,1,19
10,36,2,2,18
11,36,4,6,17
12,36,1,1,19
13,36,1,1,19
14,36,3,5,18
15,36,4,6,17
16,36,3,5,18
17,36,4,6,17
18,36,2,2,18
19,36,3,5,18
20,36,3,5,18
21,36,3,5,18
22,36,7,11,15
23,36,13,29,13
24,36,13,27,12
25,36,27,67,8
26,36,32,78,5
5,37,2,2,18
6,37,2,2,18
7,37,1,1,19
8,37,2,2,18
9,37,1,1,19
10,37,2,2,18
11,37,4,6,17
12,37,1,1,19
13,37,1,1,19
14,37,3,5,18
15,37,4,6,17
16,37,4,6,17
17,37,4,6,17
18,37,3,3,17
19,37,3,5,18
20,37,3,5,18
21,37,3,5,18
22,37,7,11,15
23,37,13,29,13
24,37,15,31,11
25,37,27,67,8
26,37,33,79,4
27,37,40,98,2
5,38,2,2,18
6,38,2,2,18
7,38,1,1,19
8,38,3,5,18
9,38,1,1,19
10,38,2,2,18
11,38,5,9,17
12,38,1,1,19
13,38,3,5,18
14,38,3,5,18
15,38,4,6,17
16,38,3,5,18
17,38,4,6,17
18,38,2,2,18
19,38,3,5,18
20,38,3,5,18
21,38,3,5,18
22,38,5,7,16
23,38,13,29,13
24,38,14,30,12
25,38,28,68,7
26,38,32,78,5
27,38,40,98,2
28,38,40,100,2
5,39,2,2,18
6,39,2,2,18
7,39,1,1,19
8,39,3,5,18
9,39,1,1,19
10,39,2,2,18
11,39,5,9,17
12,39,1,1,19
13,39,3,5,18
14,39,3,5,18
15,39,3,5,18
16,39,3,5,18
17,39,5,9,17
18,39,2,2,18
19,39,3,5,18
20,39,3,5,18
21,39,5,9,17
22,39,7,11,15
23,39,16,34,11
24,39,15,33,12
25,39,28,64,6
26,39,33,81,5
27,39,40,98,2
28,39,39,93,1
29,39,37,89,2
5,40,1,1,19
6,40,2,2,18
7,40,2,2,18
8,40,3,5,18
9,40,1,1,19
10,40,3,3,17
11,40,5,9,17
12,40,1,1,19
13,40,3,5,18
14,40,3,5,18
15,40,3,5,18
16,40,3,5,18
17,40,4,6,17
18,40,1,1,19
19,40,3,5,18
20,40,3,5,18
21,40,3,5,18
22,40,5,7,16
23,40,11,25,14
24,40,14,30,12
25,40,20,48,10
26,40,29,73,7
27,40,37,87,2
28,40,35,81,2
29,40,34,84,4
30,40,35,89,4
5,41,1,1,19
6,41,1,1,19
7,41,1,1,19
8,41,1,1,19
9,41,1,1,19
10,41,2,2,18
11,41,5,9,17
12,41,1,1,19
13,41,1,1,19
14,41,3,5,18
15,41,4,6,17
16,41,3,5,18
17,41,3,5,18
18,41,1,1,19
19,41,3,5,18
20,41,3,5,18
21,41,4,6,17
22,41,3,5,18
23,41,12,28,14
24,41,12,28,14
25,41,21,51,10
26,41,21,47,9
27,41,31,69,4
28,41,31,73,5
29,41,33,81,4
30,41,23,53,8
31,41,17,37,11
5,42,1,1,19
6,42,1,1,19
7,42,1,1,19
8,42,5,9,17
9,42,1,1,19
10,42,1,1,19
11,42,5,9,17
12,42,3,5,18
13,42,5,9,17
14,42,2,4,19
15,42,3,5,18
16,42,3,5,18
17,42,2,4,19
18,42,1,1,19
19,42,3,5,18
20,42,1,1,19
21,42,1,1,19
22,42,2,2,18
23,42,10,24,15
24,42,13,29,13
25,42,20,50,11
26,42,24,58,9
27,42,27,63,7
28,42,28,70,7
29,42,28,68,6
30,42,25,61,8
31,42,18,42,11
32,42,11,25,14
5,43,1,1,19
6,43,1,1,19
7,43,0,0,20
8,43,5,9,17
9,43,1,1,19
10,43,1,1,19
11,43,6,12,17
12,43,4,8,18
13,43,5,9,17
14,43,2,4,19
15,43,2,4,19
16,43,2,4,19
17,43,3,5,18
18,43,2,2,18
19,43,3,5,18
20,43,5,9,17
21,43,4,6,17
22,43,4,10,18
23,43,11,27,15
24,43,9,17,14
25,43,19,45,11
26,43,20,46,10
27,43,28,68,7
28,43,23,55,9
29,43,29,75,7
30,43,18,40,10
31,43,18,46,12
32,43,15,35,12
33,43,12,28,14
5,44,4,6,17
6,44,6,10,16
7,44,5,7,16
8,44,5,9,17
9,44,5,9,17
10,44,1,1,19
11,44,6,12,17
12,44,5,9,17
13,44,6,10,16
14,44,5,9,17
15,44,5,7,16
16,44,7,11,15
17,44,6,10,16
18,44,3,5,18
19,44,4,6,17
20,44,6,10,16
21,44,7,11,15
22,44,10,16,13
23,44,13,25,12
24,44,16,30,10
25,44,25,57,8
26,44,25,59,8
27,44,29,69,6
28,44,25,57,7
29,44,28,68,6
30,44,27,63,6
31,44,24,60,9
32,44,24,58,8
33,44,22,52,9
34,44,24,60,9
5,45,4,6,17
6,45,4,6,17
7,45,4,6,17
8,45,4,6,17
9,45,4,6,17
10,45,4,6,17
11,45,5,9,17
12,45,4,6,17
13,45,7,11,15
14,45,6,10,16
15,45,8,14,15
16,45,8,14,15
17,45,7,13,16
18,45,6,10,16
19,45,5,7,16
20,45,8,14,15
21,45,9,15,14
22,45,12,20,12
23,45,16,30,10
24,45,20,42,9
25,45,26,60,8
26,45,25,57,8
27,45,27,63,7
28,45,28,68,7
29,45,26,64,8
30,45,27,67,8
31,45,28,72,8
32,45,26,62,8
33,45,26,62,8
34,45,26,64,8
35,45,25,59,8
5,46,4,6,17
6,46,6,10,16
7,46,4,6,17
8,46,6,10,16
9,46,6,10,16
10,46,4,6,17
11,46,8,12,14
12,46,7,11,15
13,46,7,11,15
14,46,6,10,16
15,46,7,11,15
16,46,7,11,15
17,46,7,11,15
18,46,6,10,16
19,46,8,12,14
20,46,10,16,13
21,46,8,12,14
22,46,13,25,12
23,46,13,25,12
24,46,18,38,10
25,46,27,61,7
26,46,27,63,7
27,46,31,77,6
28,46,28,72,8
29,46,26,64,8
30,46,32,86,7
31,46,31,81,7
32,46,29,75,8
33,46,29,75,8
34,46,26,68,9
35,46,27,67,8
36,46,31,81,7
5,47,3,5,18
6,47,3,5,18
7,47,4,6,17
8,47,5,7,16
9,47,3,5,18
10,47,5,7,16
11,47,6,8,15
12,47,5,7,16
13,47,7,11,15
14,47,5,9,17
15,47,6,10,16
16,47,6,12,17
17,47,5,9,17
18,47,5,9,17
19,47,6,10,16
20,47,6,10,16
21,47,8,12,14
22,47,9,17,15
23,47,11,23,14
24,47,14,28,12
25,47,25,57,8
26,47,25,59,8
27,47,25,59,8
28,47,27,71,9
29,47,25,63,9
30,47,25,67,10
31,47,25,67,10
32,47,26,70,10
33,47,24,62,10
34,47,25,67,10
35,47,23,57,10
36,47,24,62,10
37,47,24,62,10
5,48,5,7,16
6,48,5,7,16
7,48,6,8,15
8,48,5,7,16
9,48,5,7,16
10,48,7,9,14
11,48,8,12,14
12,48,6,8,15
13,48,7,11,15
14,48,6,10,16
15,48,7,11,15
16,48,9,17,15
17,48,7,11,15
18,48,6,10,16
19,48,7,13,16
20,48,8,14,15
21,48,10,16,13
22,48,13,25,13
23,48,15,31,12
24,48,17,39,12
25,48,24,56,9
26,48,25,59,8
27,48,26,64,8
28,48,29,77,8
29,48,27,69,8
30,48,28,76,9
31,48,28,76,9
32,48,29,79,9
33,48,27,71,9
34,48,28,76,9
35,48,26,66,9
36,48,27,71,9
37,48,27,71,9
38,48,29,81,9
5,49,6,6,14
6,49,4,4,16
7,49,6,6,14
8,49,6,8,15
9,49,6,6,14
10,49,6,6,14
11,49,9,13,13
12,49,6,6,14
13,49,8,12,14
14,49,9,13,13
15,49,10,16,13
16,49,11,17,12
17,49,9,15,14
18,49,5,7,16
19,49,9,15,14
20,49,8,12,14
21,49,10,14,12
22,49,15,31,12
23,49,14,28,12
24,49,19,45,11
25,49,26,62,8
26,49,27,67,8
27,49,28,68,7
28,49,33,87,6
29,49,28,72,8
30,49,29,77,8
31,49,29,77,8
32,49,30,80,8
33,49,28,72,8
34,49,31,85,8
35,49,29,75,8
36,49,28,72,8
37,49,28,72,8
38,49,25,65,9
39,49,26,70,9
5,50,8,10,13
6,50,7,9,14
7,50,8,10,13
8,50,6,8,15
9,50,6,8,15
10,50,7,9,14
11,50,8,12,14
12,50,8,10,13
13,50,7,9,14
14,50,10,14,12
15,50,10,12,11
16,50,10,12,11
17,50,10,14,12
18,50,10,14,12
19,50,9,13,13
20,50,10,14,12
21,50,14,22,10
22,50,14,24,11
23,50,17,33,10
24,50,19,41,10
25,50,22,48,9
26,50,26,62,8
27,50,26,62,8
28,50,30,82,8
29,50,27,69,8
30,50,29,79,8
31,50,25,65,9
32,50,24,64,10
33,50,27,73,9
34,50,27,73,9
35,50,22,56,10
36,50,23,59,10
37,50,24,64,10
38,50,26,72,10
39,50,24,64,10
40,50,27,75,10
5,51,7,9,14
6,51,6,8,15
7,51,7,9,14
8,51,7,9,14
9,51,6,8,15
10,51,7,9,14
11,51,9,11,12
12,51,8,10,13
13,51,7,9,14
14,51,9,13,13
15,51,9,11,12
16,51,9,11,12
17,51,10,14,12
18,51,9,13,13
19,51,10,14,12
20,51,10,14,12
21,51,11,17,12
22,51,13,23,12
23,51,16,32,11
24,51,17,37,11
25,51,20,44,10
26,51,26,62,8
27,51,30,76,7
28,51,33,87,6
29,51,32,84,7
30,51,29,77,8
31,51,23,63,11
32,51,23,59,10
33,51,24,64,10
34,51,22,56,10
35,51,21,51,10
36,51,19,43,10
37,51,21,51,10
38,51,22,56,10
39,51,21,55,11
40,51,26,72,10
41,51,27,71,9
5,52,5,7,16
6,52,5,7,16
7,52,5,7,16
8,52,5,7,16
9,52,6,8,15
10,52,6,8,15
11,52,7,9,14
12,52,7,9,14
13,52,7,9,14
14,52,8,12,14
15,52,8,10,13
16,52,7,9,14
17,52,8,12,14
18,52,8,12,14
19,52,11,17,12
20,52,9,13,13
21,52,11,19,13
22,52,12,22,13
23,52,15,31,12
24,52,17,39,12
25,52,20,46,11
26,52,23,53,9
27,52,29,75,8
28,52,29,81,9
29,52,25,67,10
30,52,23,63,11
31,52,26,76,11
32,52,25,71,11
33,52,26,76,11
34,52,24,68,11
35,52,21,55,11
36,52,24,66,11
37,52,25,71,11
38,52,22,58,11
39,52,22,58,11
40,52,24,66,11
41,52,25,71,11
42,52,27,75,10
5,53,7,9,14
6,53,7,9,14
7,53,7,9,14
8,53,6,8,15
9,53,6,8,15
10,53,6,8,15
11,53,7,9,14
12,53,8,10,13
13,53,8,10,13
14,53,10,14,12
15,53,9,11,12
16,53,9,11,12
17,53,9,13,13
18,53,10,16,13
19,53,10,16,13
20,53,11,17,12
21,53,11,17,12
22,53,12,20,12
23,53,16,32,11
24,53,17,37,11
25,53,17,39,12
26,53,22,54,10
27,53,22,54,10
28,53,29,81,9
29,53,21,55,11
30,53,22,60,11
31,53,19,55,13
32,53,20,58,13
33,53,19,55,13
34,53,17,47,13
35,53,20,56,12
36,53,18,46,12
37,53,19,51,12
38,53,19,51,12
39,53,18,46,12
40,53,20,58,13
41,53,23,63,11
42,53,21,55,11
43,53,24,64,10
5,54,7,9,14
6,54,6,8,15
7,54,6,8,15
8,54,6,8,15
9,54,7,11,15
10,54,9,13,13
11,54,9,11,12
12,54,9,13,13
13,54,9,13,13
14,54,9,13,13
15,54,9,13,13
16,54,8,10,13
17,54,8,10,13
18,54,9,13,13
19,54,12,22,12
20,54,11,17,12
21,54,10,14,12
22,54,11,19,13
23,54,13,25,12
24,54,17,37,11
25,54,19,45,11
26,54,25,63,9
27,54,25,63,9
28,54,29,81,9
29,54,23,59,10
30,54,25,69,10
31,54,22,60,11
32,54,23,63,11
33,54,24,68,11
34,54,19,51,12
35,54,20,54,12
36,54,22,58,11
37,54,21,55,11
38,54,24,68,11
39,54,22,56,10
40,54,22,62,12
41,54,25,67,10
42,54,26,68,9
43,54,22,60,11
44,54,25,73,11
5,55,6,8,15
6,55,6,8,15
7,55,6,8,15
8,55,6,8,15
9,55,7,11,15
10,55,8,12,14
11,55,8,10,13
12,55,8,12,14
13,55,8,12,14
14,55,8,12,14
15,55,9,13,13
16,55,9,13,13
17,55,9,13,13
18,55,9,13,13
19,55,10,18,13
20,55,9,13,13
21,55,10,16,13
22,55,9,15,14
23,55,12,24,13
24,55,15,33,12
25,55,23,57,10
26,55,23,59,10
27,55,25,67,10
28,55,30,86,9
29,55,24,64,10
30,55,24,66,10
31,55,23,61,10
32,55,24,64,10
33,55,22,60,11
34,55,23,61,10
35,55,22,56,10
36,55,19,43,10
37,55,22,56,10
38,55,26,70,9
39,55,23,57,9
40,55,23,57,9
41,55,24,64,10
42,55,27,73,9
43,55,26,74,10
44,55,27,77,10
45,55,27,77,10
5,56,3,3,17
6,56,3,3,17
7,56,5,7,16
8,56,5,7,16
9,56,6,10,16
10,56,4,6,17
11,56,7,11,15
12,56,7,11,15
13,56,7,11,15
14,56,7,11,15
15,56,7,11,15
16,56,7,11,15
17,56,7,11,15
18,56,6,12,16
19,56,8,16,15
20,56,9,13,13
21,56,8,12,14
22,56,7,11,15
23,56,12,24,13
24,56,12,24,13
25,56,16,40,13
26,56,15,37,13
27,56,17,45,13
28,56,24,68,11
29,56,20,54,12
30,56,22,60,11
31,56,16,42,13
32,56,16,42,13
33,56,18,50,13
34,56,19,51,12
35,56,18,46,12
36,56,16,38,12
37,56,19,51,12
38,56,20,56,12
39,56,19,51,12
40,56,19,51,12
41,56,19,51,12
42,56,19,51,12
43,56,17,43,12
44,56,21,59,12
45,56,20,54,12
46,56,19,55,13
5,57,6,8,15
6,57,6,8,15
7,57,5,7,16
8,57,5,7,16
9,57,6,10,16
10,57,5,7,16
11,57,7,11,15
12,57,7,11,15
13,57,7,11,15
14,57,8,12,14
15,57,7,11,15
16,57,7,11,15
17,57,7,11,15
18,57,6,12,16
19,57,6,12,16
20,57,8,12,14
21,57,7,11,15
22,57,10,16,13
23,57,10,16,13
24,57,13,25,12
25,57,18,42,11
26,57,21,51,10
27,57,23,59,10
28,57,25,69,10
29,57,19,47,11
30,57,21,55,11
31,57,21,55,11
32,57,19,47,11
33,57,19,51,12
34,57,17,43,12
35,57,17,41,12
36,57,17,41,12
37,57,20,52,11
38,57,21,57,11
39,57,21,57,11
40,57,18,50,13
41,57,19,51,12
42,57,22,54,9
43,57,20,48,10
44,57,24,68,11
45,57,19,49,11
46,57,23,67,12
47,57,25,71,11
