L_min,L_max,error,sqr_error,n_successes
32,42,8,8,12
5,43,10,10,10
6,43,11,11,9
7,43,12,12,8
8,43,11,11,9
9,43,10,10,10
10,43,9,9,11
11,43,10,10,10
12,43,8,8,12
13,43,10,10,10
14,43,10,10,10
15,43,9,9,11
16,43,8,8,12
17,43,10,10,10
18,43,9,9,11
19,43,9,9,11
20,43,9,9,11
21,43,6,6,14
22,43,7,7,13
23,43,5,5,15
24,43,7,7,13
25,43,6,6,14
26,43,6,6,14
27,43,7,7,13
28,43,7,7,13
29,43,7,7,13
30,43,7,7,13
31,43,6,6,14
32,43,6,6,14
33,43,6,6,14
5,44,10,10,10
6,44,9,9,11
7,44,9,9,11
8,44,10,10,10
9,44,10,10,10
10,44,10,10,10
11,44,10,10,10
12,44,10,10,10
13,44,11,11,9
14,44,10,10,10
15,44,8,8,12
16,44,8,8,12
17,44,10,10,10
18,44,10,10,10
19,44,8,8,12
20,44,7,7,13
21,44,6,6,14
22,44,7,7,13
23,44,7,7,13
24,44,6,6,14
25,44,6,6,14
26,44,7,7,13
27,44,5,5,15
28,44,6,6,14
29,44,7,7,13
30,44,7,7,13
31,44,7,7,13
32,44,6,6,14
33,44,7,7,13
34,44,7,7,13
5,45,9,9,11
6,45,9,9,11
7,45,10,10,10
8,45,9,9,11
9,45,9,9,11
10,45,7,7,13
11,45,8,8,12
12,45,8,8,12
13,45,8,8,12
14,45,8,8,12
15,45,9,9,11
16,45,8,8,12
17,45,8,8,12
18,45,7,7,13
19,45,7,7,13
20,45,7,7,13
21,45,7,7,13
22,45,6,6,14
23,45,6,6,14
24,45,6,6,14
25,45,6,6,14
26,45,6,6,14
27,45,6,6,14
28,45,6,6,14
29,45,6,6,14
30,45,6,6,14
31,45,6,6,14
32,45,6,6,14
33,45,6,6,14
34,45,6,6,14
35,45,6,6,14
5,46,8,8,12
6,46,9,9,11
7,46,9,9,11
8,46,9,9,11
9,46,8,8,12
10,46,8,8,12
11,46,7,7,13
12,46,7,7,13
13,46,8,8,12
14,46,10,10,10
15,46,10,10,10
16,46,8,8,12
17,46,9,9,11
18,46,7,7,13
19,46,7,7,13
20,46,7,7,13
21,46,7,7,13
22,46,7,7,13
23,46,7,7,13
24,46,5,5,15
25,46,6,6,14
26,46,6,6,14
27,46,6,6,14
28,46,6,6,14
29,46,6,6,14
30,46,6,6,14
31,46,6,6,14
32,46,6,6,14
33,46,6,6,14
34,46,6,6,14
35,46,6,6,14
36,46,6,6,14
5,47,6,6,14
6,47,8,8,12
7,47,9,9,11
8,47,8,8,12
9,47,6,6,14
10,47,6,6,14
11,47,6,6,14
12,47,6,6,14
13,47,5,5,15
14,47,6,6,14
15,47,7,7,13
16,47,5,5,15
17,47,7,7,13
18,47,6,6,14
19,47,6,6,14
20,47,6,6,14
21,47,5,5,15
22,47,5,5,15
23,47,5,5,15
24,47,5,5,15
25,47,5,5,15
26,47,5,5,15
27,47,5,5,15
28,47,5,5,15
29,47,5,5,15
30,47,5,5,15
31,47,5,5,15
32,47,5,5,15
33,47,5,5,15
34,47,5,5,15
35,47,5,5,15
36,47,5,5,15
37,47,7,7,13
5,48,6,6,14
6,48,6,6,14
7,48,6,6,14
8,48,6,6,14
9,48,6,6,14
10,48,6,6,14
11,48,6,6,14
12,48,6,6,14
13,48,6,6,14
14,48,5,5,15
15,48,5,5,15
16,48,5,5,15
17,48,7,7,13
18,48,5,5,15
19,48,5,5,15
20,48,6,6,14
21,48,5,5,15
22,48,5,5,15
23,48,5,5,15
24,48,5,5,15
25,48,5,5,15
26,48,5,5,15
27,48,4,4,16
28,48,4,4,16
29,48,4,4,16
30,48,4,4,16
31,48,4,4,16
32,48,4,4,16
33,48,4,4,16
34,48,4,4,16
35,48,4,4,16
36,48,6,6,14
37,48,5,5,15
38,48,5,5,15
5,49,5,5,15
6,49,5,5,15
7,49,6,6,14
8,49,7,7,13
9,49,7,7,13
10,49,6,6,14
11,49,8,8,12
12,49,7,7,13
13,49,7,7,13
14,49,7,7,13
15,49,7,7,13
16,49,6,6,14
17,49,7,7,13
18,49,6,6,14
19,49,6,6,14
20,49,7,7,13
21,49,5,5,15
22,49,5,5,15
23,49,5,5,15
24,49,5,5,15
25,49,6,6,14
26,49,6,6,14
27,49,6,6,14
28,49,5,5,15
29,49,5,5,15
30,49,5,5,15
31,49,5,5,15
32,49,5,5,15
33,49,5,5,15
34,49,5,5,15
35,49,5,5,15
36,49,7,7,13
37,49,7,7,13
38,49,6,6,14
39,49,6,6,14
