L_min,L_max,error,sqr_error,n_successes
16,34,50,144,2
17,34,56,166,1
18,34,47,137,3
19,34,45,127,3
20,34,40,112,5
21,34,34,84,5
22,34,34,84,5
23,34,20,46,10
24,34,17,39,12
5,35,56,162,0
6,35,55,159,0
7,35,54,158,1
8,35,52,150,1
9,35,49,139,1
10,35,52,146,0
11,35,55,159,0
12,35,57,167,0
13,35,58,172,0
14,35,58,172,0
15,35,59,175,0
16,35,50,144,2
17,35,52,154,2
18,35,44,122,3
19,35,43,117,3
20,35,41,107,3
21,35,33,85,6
22,35,33,85,6
23,35,20,50,11
24,35,25,67,10
25,35,32,84,7
5,36,53,153,1
6,36,56,162,0
7,36,52,148,1
8,36,51,145,1
9,36,49,137,1
10,36,46,128,2
11,36,53,151,0
12,36,57,167,0
13,36,57,167,0
14,36,54,154,0
15,36,57,167,0
16,36,50,144,2
17,36,54,158,1
18,36,47,131,2
19,36,47,125,1
20,36,37,93,4
21,36,34,84,5
22,36,34,84,5
23,36,18,38,10
24,36,21,45,9
25,36,30,70,5
26,36,32,78,5
5,37,54,158,1
6,37,54,158,1
7,37,53,153,1
8,37,53,153,1
9,37,49,137,1
10,37,45,125,2
11,37,52,146,0
12,37,54,154,0
13,37,56,162,0
14,37,53,149,0
15,37,51,141,0
16,37,44,122,3
17,37,55,161,1
18,37,47,131,2
19,37,44,116,2
20,37,35,89,5
21,37,31,75,6
22,37,27,63,7
23,37,14,28,12
24,37,21,53,11
25,37,25,55,7
26,37,25,55,7
27,37,28,68,6
5,38,52,148,1
6,38,54,158,1
7,38,52,148,1
8,38,52,148,1
9,38,50,140,1
10,38,47,131,2
11,38,53,149,0
12,38,52,146,0
13,38,57,165,0
14,38,56,162,0
15,38,54,154,0
16,38,45,127,3
17,38,50,144,2
18,38,39,103,4
19,38,39,103,4
20,38,36,88,4
21,38,31,75,6
22,38,35,89,5
23,38,21,49,10
24,38,21,49,10
25,38,23,51,8
26,38,30,72,6
27,38,27,65,7
28,38,27,63,6
5,39,49,135,1
6,39,51,145,1
7,39,48,132,1
8,39,50,140,1
9,39,45,119,1
10,39,46,124,1
11,39,46,122,1
12,39,51,139,0
13,39,51,141,1
14,39,52,148,1
15,39,53,151,1
16,39,45,125,3
17,39,51,143,1
18,39,37,93,4
19,39,40,102,3
20,39,38,98,4
21,39,31,75,6
22,39,29,71,7
23,39,22,54,10
24,39,24,58,9
25,39,25,59,8
26,39,29,69,6
27,39,29,71,6
28,39,28,68,6
29,39,29,71,6
5,40,45,119,1
6,40,47,125,1
7,40,47,125,1
8,40,47,125,1
9,40,49,135,1
10,40,44,114,1
11,40,49,133,1
12,40,50,134,0
13,40,48,128,1
14,40,48,128,1
15,40,47,125,1
16,40,41,107,3
17,40,48,128,1
18,40,42,110,3
19,40,37,93,4
20,40,37,95,4
21,40,35,83,4
22,40,25,59,8
23,40,15,33,12
24,40,24,58,9
25,40,25,61,8
26,40,27,69,8
27,40,30,76,6
28,40,31,77,5
29,40,30,76,6
30,40,31,79,6
5,41,45,119,1
6,41,48,130,1
7,41,46,120,1
8,41,48,130,1
9,41,44,114,1
10,41,42,106,1
11,41,44,112,1
12,41,50,132,0
13,41,47,123,1
14,41,46,120,1
15,41,46,120,1
16,41,43,113,2
17,41,49,131,0
18,41,39,99,3
19,41,40,104,3
20,41,32,82,6
21,41,33,87,6
22,41,31,83,7
23,41,25,65,9
24,41,27,73,9
25,41,26,70,9
26,41,31,87,8
27,41,30,80,7
28,41,32,82,5
29,41,31,81,6
30,41,30,78,6
31,41,30,78,6
5,42,47,127,1
6,42,48,130,1
7,42,49,133,1
8,42,46,122,1
9,42,45,117,1
10,42,41,101,1
11,42,41,99,1
12,42,47,119,0
13,42,47,119,0
14,42,46,116,0
15,42,47,121,0
16,42,40,100,2
17,42,46,116,0
18,42,44,116,2
19,42,36,90,4
20,42,35,91,5
21,42,32,78,5
22,42,30,74,6
23,42,21,49,9
24,42,27,67,7
25,42,26,66,8
26,42,27,67,7
27,42,27,69,7
28,42,29,71,5
29,42,29,77,7
30,42,30,78,6
31,42,30,78,6
32,42,29,77,7
5,43,45,117,1
6,43,47,125,1
7,43,46,124,1
8,43,46,122,1
9,43,43,109,1
10,43,40,98,1
11,43,43,105,0
12,43,45,111,0
13,43,46,116,0
14,43,47,121,0
15,43,44,108,0
16,43,40,98,2
17,43,46,120,1
18,43,40,102,3
19,43,38,94,3
20,43,35,87,4
21,43,31,73,5
22,43,25,61,8
23,43,16,32,10
24,43,23,55,8
25,43,22,54,9
26,43,25,59,7
27,43,20,46,9
28,43,27,61,5
29,43,24,60,8
30,43,25,61,7
31,43,28,66,5
32,43,27,65,6
33,43,26,62,6
5,44,45,117,1
6,44,45,115,1
7,44,42,104,1
8,44,45,117,1
9,44,42,106,1
10,44,42,106,1
11,44,42,106,1
12,44,46,116,0
13,44,47,121,0
14,44,45,113,0
15,44,43,107,1
16,44,38,94,3
17,44,46,120,1
18,44,39,99,3
19,44,36,90,4
20,44,33,83,5
21,44,31,77,6
22,44,28,70,7
23,44,23,57,9
24,44,23,57,9
25,44,24,58,8
26,44,30,72,5
27,44,25,59,7
28,44,27,61,5
29,44,26,68,8
30,44,26,62,6
31,44,27,65,6
32,44,24,56,7
33,44,26,62,6
34,44,30,74,5
5,45,42,104,1
6,45,45,115,1
7,45,41,103,1
8,45,43,109,1
9,45,41,103,1
10,45,37,85,1
11,45,40,96,1
12,45,42,100,0
13,45,41,95,0
14,45,42,102,1
15,45,43,107,1
16,45,37,91,3
17,45,41,99,1
18,45,38,94,3
19,45,36,90,4
20,45,33,83,5
21,45,31,79,6
22,45,28,70,7
23,45,26,64,7
24,45,25,63,8
25,45,25,63,8
26,45,26,64,7
27,45,24,60,8
28,45,27,63,5
29,45,25,63,8
30,45,27,65,6
31,45,25,61,7
32,45,25,61,7
33,45,26,62,6
34,45,28,66,5
35,45,28,66,5
5,46,43,107,1
6,46,46,118,1
7,46,41,101,1
8,46,43,109,1
9,46,40,98,1
10,46,39,93,1
11,46,41,99,1
12,46,41,93,0
13,46,44,106,0
14,46,44,112,1
15,46,44,112,1
16,46,38,94,3
17,46,42,104,1
18,46,38,94,3
19,46,36,90,4
20,46,33,83,5
21,46,31,79,6
22,46,27,67,7
23,46,28,72,7
24,46,22,54,9
25,46,25,63,8
26,46,28,68,6
27,46,23,59,9
28,46,27,63,5
29,46,25,63,8
30,46,26,64,7
31,46,28,66,5
32,46,27,63,5
33,46,26,62,6
34,46,28,66,5
35,46,28,66,5
36,46,27,65,6
5,47,38,88,1
6,47,46,114,0
7,47,42,106,1
8,47,41,101,1
9,47,38,88,1
10,47,38,88,1
11,47,39,91,1
12,47,41,95,0
13,47,41,93,0
14,47,40,94,1
15,47,40,96,1
16,47,40,92,1
17,47,40,96,1
18,47,35,83,3
19,47,33,79,4
20,47,31,75,5
21,47,29,69,6
22,47,25,59,7
23,47,23,55,8
24,47,24,58,8
25,47,24,58,8
26,47,23,55,8
27,47,22,54,9
28,47,26,58,5
29,47,22,54,9
30,47,24,56,7
31,47,25,57,6
32,47,27,61,5
33,47,25,57,6
34,47,23,53,7
35,47,24,56,7
36,47,24,56,7
37,47,28,70,6
5,48,38,88,1
6,48,41,97,1
7,48,39,91,1
8,48,39,91,1
9,48,38,88,1
10,48,36,84,2
11,48,39,91,1
12,48,41,95,0
13,48,41,95,0
14,48,39,89,1
15,48,38,86,1
16,48,36,82,2
17,48,38,90,1
18,48,34,78,3
19,48,33,77,4
20,48,31,75,5
21,48,26,62,7
22,48,26,62,7
23,48,20,46,9
24,48,19,45,10
25,48,22,54,9
26,48,25,59,7
27,48,22,50,8
28,48,23,49,6
29,48,20,46,9
30,48,22,48,7
31,48,22,48,7
32,48,24,52,6
33,48,25,53,5
34,48,24,52,6
35,48,24,52,6
36,48,25,61,7
37,48,23,55,8
38,48,25,59,7
5,49,36,80,1
6,49,42,96,0
7,49,38,88,1
8,49,39,91,1
9,49,39,93,1
10,49,38,88,1
11,49,41,101,1
12,49,42,100,0
13,49,42,100,0
14,49,41,99,1
15,49,40,96,1
16,49,40,94,1
17,49,41,97,0
18,49,36,84,2
19,49,34,82,4
20,49,34,84,4
21,49,26,62,7
22,49,21,49,9
23,49,20,46,9
24,49,19,45,10
25,49,19,45,10
26,49,24,58,8
27,49,24,60,8
28,49,26,58,5
29,49,24,56,7
30,49,25,57,6
31,49,23,53,7
32,49,25,57,6
33,49,28,60,3
34,49,27,61,5
35,49,27,61,5
36,49,31,77,5
37,49,28,72,7
38,49,25,63,8
39,49,25,63,8
